"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.874,0.685,-2.011,0.63
"ndate",0,0.003,-0.007,0.007
"NPRuaha",-0.196,0.66,-1.462,1.147
"NPSelous",-0.009,0.706,-1.43,1.339
"SeasonWet",0.132,0.106,-0.077,0.34
"CarcassPres1",0.001,0.189,-0.37,0.376
"ndate:NPRuaha",-0.001,0.004,-0.01,0.008
"ndate:NPSelous",-0.016,0.008,-0.033,0
