"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.688,0.824,-2.288,0.944
"ndate",-0.001,0.01,-0.02,0.017
"NPRuaha",-0.181,0.755,-1.635,1.298
"NPSelous",-0.103,0.778,-1.675,1.426
"SeasonWet",-0.222,0.221,-0.666,0.21
"CarcassPres1",0.156,0.377,-0.553,0.946
"ndate:NPRuaha",-0.007,0.011,-0.028,0.015
"ndate:NPSelous",-0.05,0.029,-0.11,0.004
