"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.108,0.497,-1.064,0.932
"ndate",-0.004,0.006,-0.015,0.007
"NPRuaha",-0.106,0.59,-1.25,1.095
"NPSelous",0.364,0.702,-1.055,1.694
"SeasonWet",0.148,0.152,-0.154,0.448
"CarcassPres1",0.602,0.261,0.102,1.137
"ndate:NPRuaha",-0.012,0.007,-0.026,0.001
"ndate:NPSelous",-0.015,0.012,-0.039,0.007
