"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.807,0.866,-2.467,0.875
"ndate",0.011,0.011,-0.01,0.033
"NPRuaha",-0.207,0.761,-1.674,1.285
"NPSelous",-0.191,0.783,-1.719,1.376
"SeasonWet",-0.513,0.27,-1.057,0.015
"CarcassPres1",1.156,0.435,0.358,2.054
"ndate:NPRuaha",-0.015,0.013,-0.04,0.011
"ndate:NPSelous",-0.011,0.022,-0.054,0.032
