"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.795,0.849,-2.426,0.861
"ndate",-0.009,0.009,-0.027,0.01
"NPRuaha",-0.225,0.771,-1.753,1.302
"NPSelous",-0.199,0.783,-1.761,1.332
"SeasonWet",0.344,0.26,-0.163,0.862
"CarcassPres1",0.082,0.435,-0.778,0.961
"ndate:NPRuaha",-0.01,0.012,-0.033,0.012
"ndate:NPSelous",-0.005,0.021,-0.043,0.036
