"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-0.371,3.668,-7.923,7.781
"ndate",-0.003,0.006,-0.014,0.008
"NPRuaha",0.101,5.234,-11.04,10.494
"NPSelous",1.498,5.571,-9.861,12.596
"SeasonWet",0.137,0.153,-0.153,0.444
"CarcassPres1",0.629,0.263,0.141,1.172
"ndate:NPRuaha",-0.013,0.007,-0.027,0.001
"ndate:NPSelous",-0.022,0.014,-0.049,0.004
