"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-3.664,3.701,-11.478,4.22
"ndate",-0.007,0.01,-0.027,0.012
"NPRuaha",0.506,5.222,-10.64,11.293
"NPSelous",-0.281,5.622,-11.332,11.177
"SeasonWet",0.411,0.259,-0.089,0.911
"CarcassPres1",0.09,0.462,-0.79,1.032
"ndate:NPRuaha",-0.011,0.013,-0.035,0.014
"ndate:NPSelous",0.004,0.024,-0.044,0.053
