"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-3.465,3.765,-11.748,3.985
"ndate",-0.005,0.009,-0.023,0.014
"NPRuaha",0.199,4.836,-9.775,10.83
"NPSelous",2.744,5.668,-8.134,13.709
"SeasonWet",0.403,0.231,-0.062,0.857
"CarcassPres1",0.677,0.406,-0.094,1.504
"ndate:NPRuaha",0,0.012,-0.024,0.023
"ndate:NPSelous",-0.036,0.024,-0.084,0.009
