"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-2.075,3.483,-9.654,4.848
"ndate",0.001,0.004,-0.006,0.008
"NPRuaha",0.478,4.744,-9.264,10.536
"NPSelous",1.048,4.695,-8.626,11.097
"SeasonWet",0.134,0.104,-0.072,0.335
"CarcassPres1",0.01,0.195,-0.364,0.404
"ndate:NPRuaha",-0.002,0.005,-0.011,0.007
"ndate:NPSelous",-0.017,0.009,-0.035,0.001
