"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-4.221,4.374,-13.435,3.951
"ndate",0.001,0.01,-0.018,0.02
"NPRuaha",1.608,5.816,-9.764,14.471
"NPSelous",1.531,6.208,-10.652,13.867
"SeasonWet",-0.204,0.217,-0.62,0.23
"CarcassPres1",0.169,0.379,-0.539,0.935
"ndate:NPRuaha",-0.009,0.011,-0.031,0.013
"ndate:NPSelous",-0.043,0.036,-0.117,0.023
