"rowname","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",-3.986,3.532,-11.264,3.304
"ndate",0.015,0.011,-0.006,0.036
"NPRuaha",1.154,5.19,-9.052,11.832
"NPSelous",0.253,5.267,-9.722,11.009
"SeasonWet",-0.498,0.269,-1.026,0.01
"CarcassPres1",1.212,0.433,0.382,2.091
"ndate:NPRuaha",-0.017,0.013,-0.044,0.007
"ndate:NPSelous",-0.003,0.025,-0.053,0.045
